ID,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
0,3/27/2018,304,304.27,277.18,279.18,13696168,0,1,304,304.27,277.18,279.18,13696168
1,3/26/2018,307.34,307.59,291.36,304.18,8324639,0,1,307.34,307.59,291.36,304.18,8324639
2,3/23/2018,311.25,311.61,300.45,301.54,6600538,0,1,311.25,311.61,300.45,301.54,6600538
3,3/22/2018,313.89,318.82,308.18,309.1,4914307,0,1,313.89,318.82,308.18,309.1,4914307
4,3/21/2018,310.25,322.44,310.19,316.53,5927881,0,1,310.25,322.44,310.19,316.53,5927881
5,3/20/2018,314.87,316.25,308.76,310.55,4726182,0,1,314.87,316.25,308.76,310.55,4726182
6,3/19/2018,316.5,320.75,309.67,313.56,7440766,0,1,316.5,320.75,309.67,313.56,7440766
7,3/16/2018,325.96,327.4,319.07,321.35,6058612,0,1,325.96,327.4,319.07,321.35,6058612
8,3/15/2018,329.38,332.85,321.1,325.6,6366922,0,1,329.38,332.85,321.1,325.6,6366922
9,3/14/2018,336.76,339.81,323.93,326.63,7932511,0,1,336.76,339.81,323.93,326.63,7932511
10,3/13/2018,344.92,345.12,336.2635,341.84,5932110,0,1,344.92,345.12,336.2635,341.84,5932110
11,3/12/2018,328.61,347.21,326.5,345.51,8212156,0,1,328.61,347.21,326.5,345.51,8212156
12,3/9/2018,324.1,328.49,322.37,327.17,5479716,0,1,324.1,328.49,322.37,327.17,5479716
13,3/8/2018,332.86,333.3,326.274,329.1,3476944,0,1,332.86,333.3,326.274,329.1,3476944
14,3/7/2018,325.44,332.5,321.74,332.3,5007297,0,1,325.44,332.5,321.74,332.3,5007297
15,3/6/2018,333.75,336.37,327.03,328.2,4285744,0,1,333.75,336.37,327.03,328.2,4285744
16,3/5/2018,332.39,337.75,329.2929,333.35,3823769,0,1,332.39,337.75,329.2929,333.35,3823769
17,3/2/2018,326.98,335.22,322.97,335.12,5092829,0,1,326.98,335.22,322.97,335.12,5092829
18,3/1/2018,345.01,348.67,330.07,330.93,6885601,0,1,345.01,348.67,330.07,330.93,6885601
19,2/28/2018,352.57,355.24,342.22,343.06,6042895,0,1,352.57,355.24,342.22,343.06,6042895
20,2/27/2018,356.25,359.99,350.01,350.99,4761537,0,1,356.25,359.99,350.01,350.99,4761537
21,2/26/2018,353.5,359,352.355,357.42,4312871,0,1,353.5,359,352.355,357.42,4312871
22,2/23/2018,347.83,354.99,347.1,352.05,5790795,0,1,347.83,354.99,347.1,352.05,5790795
23,2/22/2018,335.53,347.44,334.7501,346.17,6940349,0,1,335.53,347.44,334.7501,346.17,6940349
24,2/21/2018,336.03,339.6929,333.17,333.3,3181755,0,1,336.03,339.6929,333.17,333.3,3181755
25,2/20/2018,334.47,340.84,331.5,334.77,3996951,0,1,334.47,340.84,331.5,334.77,3996951
26,2/16/2018,332.5,343.12,331.64,335.49,5585810,0,1,332.5,343.12,331.64,335.49,5585810
27,2/15/2018,324.5,334.12,322.4,334.065,5892048,0,1,324.5,334.12,322.4,334.065,5892048
